YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,11.48,100.0,0.05,2.35
2021,1,1,3,18.46,79.31,0.0,1.6
2021,1,1,6,22.97,61.93,0.0,1.67
2021,1,1,9,22.6,65.21,0.0,1.78
2021,1,1,12,18.59,75.37,0.0,2.04
2021,1,1,15,16.1,83.45,0.0,2.71
2021,1,1,18,13.97,94.01,0.0,3.1
2021,1,1,21,12.31,100.0,0.0,3.13
2021,1,2,0,11.53,100.0,0.0,2.38
2021,1,2,3,18.83,78.16,0.0,1.03
2021,1,2,6,22.86,63.09,0.0,1.42
2021,1,2,9,22.31,67.27,0.0,1.7
2021,1,2,12,18.63,78.34,0.0,2.1
2021,1,2,15,16.17,84.0,0.0,2.56
2021,1,2,18,14.05,94.58,0.0,2.93
2021,1,2,21,12.75,100.0,0.0,2.62
2021,1,3,0,12.19,100.0,0.0,2.16
2021,1,3,3,18.27,81.76,0.0,1.15
2021,1,3,6,23.11,63.12,0.0,1.62
2021,1,3,9,23.21,64.7,0.0,1.36
2021,1,3,12,19.65,72.27,0.0,1.59
2021,1,3,15,17.25,79.74,0.0,2.13
2021,1,3,18,15.67,86.26,0.0,1.92
2021,1,3,21,14.42,93.26,0.0,1.61
2021,1,4,0,13.56,99.01,0.0,1.23
2021,1,4,3,19.29,80.07,0.0,0.66
2021,1,4,6,24.07,61.1,0.0,2.0
2021,1,4,9,23.97,64.37,0.0,2.16
2021,1,4,12,20.15,71.75,0.0,1.69
2021,1,4,15,17.83,79.16,0.0,2.01
2021,1,4,18,15.74,90.17,2.52,2.28
2021,1,4,21,14.24,98.65,0.0,2.31
2021,1,5,0,13.72,100.0,0.0,1.77
2021,1,5,3,19.4,82.4,0.0,1.32
2021,1,5,6,24.19,63.71,0.0,2.44
2021,1,5,9,24.28,66.42,0.0,2.14
2021,1,5,12,20.91,73.11,0.0,1.34
2021,1,5,15,18.28,82.32,0.0,2.16
2021,1,5,18,16.0,93.68,0.0,2.36
2021,1,5,21,14.43,100.0,0.0,2.41
2021,1,6,0,14.25,100.0,0.0,1.94
2021,1,6,3,20.56,80.06,0.0,1.19
2021,1,6,6,25.3,62.21,0.0,1.93
2021,1,6,9,25.55,63.41,0.0,1.38
2021,1,6,12,21.86,72.38,0.0,1.48
2021,1,6,15,19.32,80.6,0.0,2.24
2021,1,6,18,18.9,79.89,0.0,1.69
2021,1,6,21,17.21,88.77,0.0,1.84
2021,1,7,0,15.96,96.25,0.0,1.73
2021,1,7,3,21.5,78.3,0.0,0.91
2021,1,7,6,26.66,56.72,0.0,1.5
2021,1,7,9,26.55,59.67,0.0,1.52
2021,1,7,12,23.8,61.74,0.0,0.78
2021,1,7,15,20.83,72.0,0.0,1.66
2021,1,7,18,18.34,82.02,1.1400000000000001,2.08
2021,1,7,21,16.78,89.7,0.0,2.0
2021,1,8,0,15.45,97.52,0.0,2.15
2021,1,8,3,21.15,81.0,0.0,1.48
2021,1,8,6,25.95,58.41,0.0,2.8
2021,1,8,9,25.39,61.28,0.0,2.39
2021,1,8,12,21.49,70.95,0.0,1.94
2021,1,8,15,19.43,77.08,0.0,2.12
2021,1,8,18,17.39,85.88,0.0,2.34
2021,1,8,21,16.05,92.66,0.0,2.13
2021,1,9,0,15.02,97.81,0.0,1.6
2021,1,9,3,20.2,79.87,0.0,0.99
2021,1,9,6,24.57,60.48,0.0,2.17
2021,1,9,9,24.1,64.43,0.0,2.29
2021,1,9,12,20.92,71.59,0.0,1.6
2021,1,9,15,19.73,73.53,0.0,1.38
2021,1,9,18,18.0,81.03,0.0,1.55
2021,1,9,21,16.32,90.45,0.0,1.73
2021,1,10,0,15.34,96.46,0.0,1.29
2021,1,10,3,20.52,76.74,0.0,1.08
2021,1,10,6,24.44,64.38,0.0,1.97
2021,1,10,9,24.59,66.76,0.0,1.52
2021,1,10,12,22.38,70.76,0.0,0.51
2021,1,10,15,21.18,74.01,0.0,0.73
2021,1,10,18,19.71,80.5,0.0,0.86
2021,1,10,21,17.89,90.72,0.0,1.23
2021,1,11,0,16.79,97.82,0.0,1.27
2021,1,11,3,22.28,75.92,0.0,0.5
2021,1,11,6,25.57,64.63,0.0,1.4
2021,1,11,9,25.16,67.35,0.0,1.2
2021,1,11,12,22.76,72.57,0.0,0.94
2021,1,11,15,19.6,87.5,0.0,2.4
2021,1,11,18,18.08,93.42,0.0,2.64
2021,1,11,21,16.5,100.0,0.0,2.6
2021,1,12,0,15.36,100.0,0.0,2.44
2021,1,12,3,21.62,77.23,0.0,2.25
2021,1,12,6,24.15,63.07,0.0,2.82
2021,1,12,9,23.59,62.75,0.0,2.79
2021,1,12,12,18.97,79.45,0.0,2.37
2021,1,12,15,16.72,87.2,0.0,3.01
2021,1,12,18,15.19,91.01,0.0,3.05
2021,1,12,21,13.94,93.79,0.0,2.79
2021,1,13,0,13.17,96.3,0.0,2.5
2021,1,13,3,19.62,71.29,0.0,1.99
2021,1,13,6,22.83,55.36,0.0,2.46
2021,1,13,9,21.99,58.5,0.0,2.83
2021,1,13,12,16.87,78.28,0.0,2.6
2021,1,13,15,14.6,81.72,0.0,3.17
2021,1,13,18,13.09,81.55,0.0,3.5
2021,1,13,21,11.76,84.01,0.0,3.32
2021,1,14,0,10.59,89.17,0.0,2.86
2021,1,14,3,16.94,69.68,0.0,2.21
2021,1,14,6,21.6,55.84,0.0,2.27
2021,1,14,9,21.1,60.36,0.0,2.44
