YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.17,100.0,0.0,1.19
2021,1,1,3,19.61,75.46,0.0,0.56
2021,1,1,6,23.4,62.65,0.0,1.21
2021,1,1,9,22.77,67.06,0.0,1.36
2021,1,1,12,18.81,75.88,0.0,1.53
2021,1,1,15,16.62,82.25,0.0,1.89
2021,1,1,18,14.47,91.18,0.0,2.04
2021,1,1,21,12.84,100.0,0.0,1.92
2021,1,2,0,12.14,100.0,0.0,1.23
2021,1,2,3,19.96,73.99,0.0,0.8
2021,1,2,6,23.16,63.67,0.0,1.02
2021,1,2,9,22.42,68.27,0.0,1.37
2021,1,2,12,18.52,80.89,0.0,1.86
2021,1,2,15,16.43,83.47,0.0,2.0
2021,1,2,18,14.61,90.92,0.0,1.9
2021,1,2,21,14.33,92.52,0.0,0.97
2021,1,3,0,13.09,100.0,0.0,0.9
2021,1,3,3,19.1,78.53,0.0,0.74
2021,1,3,6,23.17,64.15,0.0,0.78
2021,1,3,9,23.15,65.41,0.0,0.8
2021,1,3,12,19.62,72.17,0.0,1.17
2021,1,3,15,17.05,80.16,0.0,1.39
2021,1,3,18,15.33,86.84,0.0,1.22
2021,1,3,21,13.73,95.87,0.0,1.17
2021,1,4,0,12.74,100.0,0.0,1.43
2021,1,4,3,19.45,78.09,0.0,0.75
2021,1,4,6,24.16,61.64,0.0,1.51
2021,1,4,9,23.86,67.51,0.0,1.63
2021,1,4,12,19.52,74.65,0.0,1.29
2021,1,4,15,17.5,80.32,0.0,1.61
2021,1,4,18,15.56,88.56,0.0,1.37
2021,1,4,21,14.04,96.91,0.0,1.59
2021,1,5,0,12.82,100.0,0.0,1.76
2021,1,5,3,19.76,79.89,0.0,1.07
2021,1,5,6,24.34,63.46,0.0,1.77
2021,1,5,9,24.21,67.34,0.0,1.54
2021,1,5,12,20.8,71.35,0.0,1.13
2021,1,5,15,18.13,80.75,0.0,1.67
2021,1,5,18,16.2,89.23,0.0,1.56
2021,1,5,21,14.46,98.34,0.0,1.62
2021,1,6,0,13.54,100.0,0.0,1.78
2021,1,6,3,20.85,76.83,0.0,1.11
2021,1,6,6,25.3,63.21,0.0,1.52
2021,1,6,9,25.36,66.0,0.0,1.05
2021,1,6,12,21.01,75.81,0.0,1.47
2021,1,6,15,18.2,85.63,0.0,2.24
2021,1,6,18,17.85,84.68,0.0,1.44
2021,1,6,21,16.09,93.53,0.0,1.88
2021,1,7,0,14.73,100.0,0.0,2.03
2021,1,7,3,21.29,79.95,0.0,1.2
2021,1,7,6,26.77,57.68,0.0,1.42
2021,1,7,9,26.38,62.65,0.0,1.55
2021,1,7,12,22.23,70.08,0.0,1.19
2021,1,7,15,19.93,75.53,0.0,1.67
2021,1,7,18,17.44,85.39,0.0,2.02
2021,1,7,21,15.72,95.48,0.0,2.07
2021,1,8,0,14.38,100.0,0.0,2.21
2021,1,8,3,21.34,80.82,0.0,1.48
2021,1,8,6,25.79,60.89,0.0,2.84
2021,1,8,9,25.12,62.69,0.0,2.19
