YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,15.53,99.63,0.0,3.21
2021,1,1,3,18.86,85.46,0.0,2.71
2021,1,1,6,22.45,67.91,0.0,2.19
2021,1,1,9,22.53,70.64,0.0,1.79
2021,1,1,12,21.02,73.85,0.0,2.17
2021,1,1,15,19.67,78.93,0.0,3.01
2021,1,1,18,17.82,89.47,0.0,3.83
2021,1,1,21,16.31,95.89,0.0,3.99
2021,1,2,0,15.59,98.91,0.0,2.86
2021,1,2,3,19.16,80.03,0.0,1.72
2021,1,2,6,21.96,66.12,0.0,1.84
2021,1,2,9,22.32,68.16,0.0,2.53
2021,1,2,12,20.52,76.17,0.0,3.3
2021,1,2,15,19.37,82.73,0.0,3.33
2021,1,2,18,17.69,92.48,0.0,3.31
2021,1,2,21,16.42,99.22,0.0,3.48
2021,1,3,0,15.93,98.88,0.0,2.82
2021,1,3,3,19.14,81.69,0.0,2.01
2021,1,3,6,22.32,66.07,0.0,1.94
2021,1,3,9,22.7,71.47,0.0,2.29
2021,1,3,12,21.01,75.66,0.0,2.62
2021,1,3,15,19.57,82.06,0.0,3.11
2021,1,3,18,18.17,89.53,0.0,2.91
2021,1,3,21,17.02,92.66,0.0,2.79
2021,1,4,0,16.51,94.11,0.0,2.15
2021,1,4,3,19.23,83.87,0.0,1.64
2021,1,4,6,23.08,70.05,0.0,2.66
2021,1,4,9,23.51,70.14,0.0,3.01
2021,1,4,12,21.41,78.17,0.0,2.24
2021,1,4,15,20.01,80.41,0.0,2.96
2021,1,4,18,18.59,88.47,0.0,2.95
2021,1,4,21,17.18,94.88,0.0,3.18
2021,1,5,0,16.53,97.08,0.0,2.94
2021,1,5,3,19.5,86.59,0.0,2.55
2021,1,5,6,23.35,70.84,0.0,3.49
2021,1,5,9,23.67,73.05,0.0,3.5
2021,1,5,12,21.64,81.37,0.0,2.65
2021,1,5,15,20.45,82.99,0.0,3.05
2021,1,5,18,18.95,90.41,0.0,3.06
2021,1,5,21,17.79,95.1,0.0,3.56
2021,1,6,0,16.93,98.11,0.0,3.24
2021,1,6,3,19.94,86.33,0.0,2.35
2021,1,6,6,23.83,71.92,0.0,2.46
2021,1,6,9,24.32,71.64,0.0,2.61
2021,1,6,12,22.15,81.65,0.0,2.75
2021,1,6,15,20.97,82.64,0.0,3.84
2021,1,6,18,20.24,85.25,0.0,2.4
2021,1,6,21,19.17,90.15,0.0,2.16
2021,1,7,0,18.56,92.73,0.0,1.7
2021,1,7,3,21.07,82.88,0.0,0.94
2021,1,7,6,24.7,68.75,0.0,1.83
2021,1,7,9,25.2,67.78,0.0,2.5
2021,1,7,12,23.15,79.22,0.0,2.13
2021,1,7,15,22.2,77.85,0.0,2.39
2021,1,7,18,20.7,82.38,0.0,3.05
2021,1,7,21,19.41,87.62,0.0,3.17
2021,1,8,0,18.71,89.0,0.0,2.93
2021,1,8,3,21.18,82.21,0.0,2.27
2021,1,8,6,24.81,69.76,0.0,3.59
2021,1,8,9,24.84,70.12,0.0,4.3
2021,1,8,12,22.47,78.53,0.0,3.49
2021,1,8,15,21.43,75.64,0.0,3.08
