YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,8.45,84.74,0.0,2.61
2021,1,1,3,14.72,66.07,0.0,2.03
2021,1,1,6,22.85,47.4,0.0,1.5
2021,1,1,9,22.63,52.9,0.0,1.12
2021,1,1,12,17.38,66.38,0.0,1.65
2021,1,1,15,13.87,76.19,0.0,2.39
2021,1,1,18,11.18,80.84,0.0,2.89
2021,1,1,21,9.43,81.25,0.0,2.88
2021,1,2,0,8.94,78.97,0.0,2.03
2021,1,2,3,14.94,63.31,0.0,1.42
2021,1,2,6,22.64,46.93,0.0,0.77
2021,1,2,9,22.36,51.74,0.0,1.0
2021,1,2,12,17.93,61.69,0.0,1.42
2021,1,2,15,17.04,61.38,0.0,0.8
2021,1,2,18,14.51,71.3,0.0,1.8
2021,1,2,21,12.35,78.89,0.0,2.11
2021,1,3,0,12.26,75.4,0.0,1.29
2021,1,3,3,16.78,68.53,0.0,1.47
2021,1,3,6,23.8,48.2,0.0,0.96
2021,1,3,9,23.56,52.5,0.0,0.22
2021,1,3,12,19.64,61.61,0.0,0.58
2021,1,3,15,16.74,71.36,0.0,1.6
2021,1,3,18,14.37,83.23,0.0,2.05
2021,1,3,21,13.2,93.16,0.0,1.7
2021,1,4,0,12.76,98.8,0.0,1.37
2021,1,4,3,18.86,76.93,0.0,2.04
2021,1,4,6,24.46,55.92,0.0,2.02
2021,1,4,9,24.65,55.86,0.0,0.63
2021,1,4,12,20.28,68.06,0.0,0.65
2021,1,4,15,17.94,74.86,0.0,1.15
2021,1,4,18,16.24,81.17,0.0,1.21
2021,1,4,21,15.09,86.27,0.0,1.25
2021,1,5,0,13.72,94.05,0.0,1.25
2021,1,5,3,18.86,76.14,0.0,1.16
2021,1,5,6,24.77,55.0,0.0,0.46
2021,1,5,9,24.81,57.35,0.0,1.38
2021,1,5,12,20.0,74.02,0.0,1.53
2021,1,5,15,18.46,76.58,0.0,1.1
2021,1,5,18,17.61,78.45,0.0,0.81
2021,1,5,21,16.32,84.1,0.0,0.87
2021,1,6,0,15.32,89.49,0.03,0.73
2021,1,6,3,19.13,78.55,0.0,0.62
2021,1,6,6,25.3,55.24,0.0,1.5
2021,1,6,9,25.03,60.0,0.0,2.72
2021,1,6,12,19.38,82.06,0.0,2.51
2021,1,6,15,18.51,80.88,0.0,2.02
2021,1,6,18,17.85,82.71,0.0,1.75
2021,1,6,21,17.16,85.31,0.0,1.18
2021,1,7,0,15.27,97.09,0.0,1.28
2021,1,7,3,19.95,78.92,0.0,1.4
2021,1,7,6,26.16,51.88,0.0,2.33
2021,1,7,9,25.67,56.88,0.0,3.37
2021,1,7,12,20.5,74.19,0.0,1.76
2021,1,7,15,19.76,72.07,0.0,0.85
2021,1,7,18,17.51,82.04,0.0,1.56
2021,1,7,21,16.53,88.1,0.0,0.82
2021,1,8,0,15.21,96.64,0.0,0.39
2021,1,8,3,19.76,77.9,0.0,0.5
