YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,12.24,90.74,0.0,3.24
2021,1,1,3,20.65,68.05,0.0,2.42
2021,1,1,6,22.85,63.29,0.0,1.69
2021,1,1,9,22.23,66.26,0.0,1.36
2021,1,1,12,19.21,69.34,0.0,0.61
2021,1,1,15,15.23,86.41,0.0,2.32
2021,1,1,18,14.11,88.55,0.0,2.49
2021,1,1,21,12.99,90.44,0.0,2.56
2021,1,2,0,11.66,95.58,0.0,2.93
2021,1,2,3,19.62,73.45,0.0,2.29
2021,1,2,6,22.06,66.16,0.0,1.55
2021,1,2,9,21.43,68.89,0.0,1.48
2021,1,2,12,18.72,71.96,0.0,0.56
2021,1,2,15,14.42,90.25,0.0,2.71
2021,1,2,18,13.46,88.19,0.0,3.05
2021,1,2,21,13.07,84.39,0.0,2.7
2021,1,3,0,12.16,84.78,0.0,2.85
2021,1,3,3,20.16,67.56,0.0,1.87
2021,1,3,6,22.96,59.59,0.0,1.42
2021,1,3,9,22.08,66.44,0.0,1.19
2021,1,3,12,18.67,70.06,0.0,0.87
2021,1,3,15,15.22,82.82,0.0,2.92
2021,1,3,18,14.91,77.14,0.0,2.68
2021,1,3,21,13.58,78.77,0.0,2.69
2021,1,4,0,12.97,80.62,0.0,2.85
2021,1,4,3,21.67,59.36,0.0,1.4
2021,1,4,6,24.2,54.68,0.0,1.02
2021,1,4,9,24.03,60.24,0.0,0.67
2021,1,4,12,20.29,66.03,0.0,0.68
2021,1,4,15,17.19,79.09,0.0,2.32
2021,1,4,18,17.58,72.09,0.0,1.41
2021,1,4,21,15.3,79.93,0.0,1.96
2021,1,5,0,13.25,87.04,0.0,2.67
2021,1,5,3,21.55,64.63,0.0,1.1
2021,1,5,6,25.02,58.77,0.0,1.26
2021,1,5,9,24.02,70.12,0.0,1.99
2021,1,5,12,19.02,82.35,0.0,1.12
2021,1,5,15,16.52,91.46,0.0,2.72
2021,1,5,18,17.96,75.68,0.0,2.03
2021,1,5,21,18.26,69.22,0.0,1.14
2021,1,6,0,14.8,84.5,0.0,2.09
2021,1,6,3,21.55,70.23,0.0,0.69
2021,1,6,6,25.41,61.54,0.0,2.45
2021,1,6,9,24.44,70.84,0.0,2.51
2021,1,6,12,20.15,79.34,0.0,1.39
2021,1,6,15,17.63,88.82,0.0,2.24
2021,1,6,18,17.17,87.27,0.0,2.33
2021,1,6,21,16.9,83.03,0.0,2.3
2021,1,7,0,15.6,85.58,0.0,2.41
2021,1,7,3,21.53,73.7,0.0,1.46
2021,1,7,6,25.09,61.84,0.0,2.65
2021,1,7,9,23.61,73.78,0.0,2.53
2021,1,7,12,20.47,76.53,0.0,0.78
2021,1,7,15,16.75,92.33,0.0,2.75
2021,1,7,18,15.74,89.63,0.0,3.17
2021,1,7,21,15.23,83.48,0.0,3.19
2021,1,8,0,15.67,74.23,0.0,2.74
2021,1,8,3,23.95,54.68,0.0,0.78
2021,1,8,6,25.52,53.34,0.0,1.93
2021,1,8,9,23.8,64.61,0.0,2.67
2021,1,8,12,19.12,77.95,0.0,1.92
2021,1,8,15,17.02,84.35,0.0,2.41
2021,1,8,18,16.25,84.17,0.0,2.64
2021,1,8,21,15.26,85.04,0.0,2.75
2021,1,9,0,13.92,87.06,0.0,2.87
2021,1,9,3,20.49,69.07,0.0,1.73
2021,1,9,6,23.2,66.49,0.0,1.62
2021,1,9,9,21.9,74.94,0.0,2.27
2021,1,9,12,17.85,85.95,0.0,1.53
2021,1,9,15,15.59,93.52,0.0,2.63
2021,1,9,18,15.0,89.54,0.0,2.66
2021,1,9,21,14.79,84.42,0.0,2.42
2021,1,10,0,13.69,89.55,0.0,2.28
2021,1,10,3,19.54,78.74,0.0,0.46
2021,1,10,6,22.24,73.54,0.0,2.98
2021,1,10,9,21.49,79.15,0.0,2.75
2021,1,10,12,18.74,85.87,0.0,1.23
2021,1,10,15,18.61,84.32,0.0,0.89
2021,1,10,18,17.06,90.46,0.0,1.19
2021,1,10,21,15.17,98.54,0.0,2.22
2021,1,11,0,14.58,96.92,0.0,2.59
2021,1,11,3,22.02,71.73,0.0,0.79
2021,1,11,6,23.99,67.38,0.0,2.63
2021,1,11,9,22.48,75.08,0.0,2.72
2021,1,11,12,19.84,79.32,0.0,0.38
2021,1,11,15,16.5,93.71,0.0,2.55
2021,1,11,18,15.88,90.05,0.0,2.61
2021,1,11,21,15.1,88.98,0.0,2.46
2021,1,12,0,14.35,88.74,0.0,2.35
2021,1,12,3,20.81,71.38,0.0,0.71
2021,1,12,6,22.43,69.55,0.0,2.52
2021,1,12,9,21.48,73.32,0.0,2.87
2021,1,12,12,16.91,86.07,0.0,2.11
2021,1,12,15,15.47,85.5,0.0,2.11
2021,1,12,18,14.51,84.36,0.0,2.03
2021,1,12,21,12.81,92.15,0.0,2.44
2021,1,13,0,12.26,98.27,0.0,2.4
2021,1,13,3,19.6,68.27,0.0,1.38
2021,1,13,6,21.38,63.12,0.0,2.58
2021,1,13,9,20.26,68.52,0.0,2.59
2021,1,13,12,14.98,86.05,0.0,2.3
2021,1,13,15,13.34,85.22,0.0,2.29
2021,1,13,18,13.46,78.73,0.0,2.18
2021,1,13,21,13.54,79.67,0.0,1.75
2021,1,14,0,10.45,100.0,0.0,2.54
2021,1,14,3,17.65,73.19,0.0,2.71
2021,1,14,6,20.53,66.81,0.0,2.11
2021,1,14,9,19.63,71.9,0.0,2.29
2021,1,14,12,15.28,84.93,0.0,1.8
2021,1,14,15,13.93,87.84,0.0,2.16
2021,1,14,18,12.92,91.05,0.0,2.62
2021,1,14,21,11.7,96.12,0.0,3.05
2021,1,15,0,11.31,93.4,0.0,3.07
2021,1,15,3,18.88,68.13,0.0,1.0
2021,1,15,6,20.74,62.75,0.0,2.35
2021,1,15,9,19.37,70.18,0.0,2.71
2021,1,15,12,14.67,86.25,0.0,2.32
