YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M
2021,1,1,0,8.5,87.75,0.0,2.87
2021,1,1,3,15.49,64.88,0.0,2.3
2021,1,1,6,23.75,37.24,0.0,2.96
2021,1,1,9,23.12,43.96,0.0,2.87
2021,1,1,12,16.03,70.2,0.0,2.75
2021,1,1,15,14.1,73.15,0.0,2.57
2021,1,1,18,12.21,76.06,0.0,2.5
2021,1,1,21,10.1,81.68,0.0,2.84
2021,1,2,0,9.0,83.67,0.0,2.56
2021,1,2,3,15.96,63.56,0.0,1.92
2021,1,2,6,22.97,41.1,0.0,2.66
2021,1,2,9,22.51,45.92,0.0,2.47
2021,1,2,12,17.47,60.91,0.0,1.89
2021,1,2,15,15.87,63.24,0.0,1.68
2021,1,2,18,14.18,68.45,0.0,1.48
2021,1,2,21,12.58,74.05,0.0,1.66
2021,1,3,0,11.15,81.01,0.0,1.77
2021,1,3,3,16.94,65.73,0.0,1.19
2021,1,3,6,24.27,43.94,0.0,2.14
2021,1,3,9,24.33,46.17,0.0,1.63
2021,1,3,12,19.1,62.24,0.0,1.87
2021,1,3,15,15.97,74.4,0.0,2.3
2021,1,3,18,14.6,81.33,0.0,1.9
2021,1,3,21,13.49,88.63,0.0,1.49
2021,1,4,0,11.74,99.25,0.0,1.94
2021,1,4,3,18.57,72.56,0.0,1.71
2021,1,4,6,25.2,47.71,0.0,2.4
2021,1,4,9,25.12,50.36,0.0,2.64
2021,1,4,12,19.13,72.57,0.0,2.12
2021,1,4,15,17.98,73.79,0.0,1.35
2021,1,4,18,16.34,80.77,0.0,1.42
2021,1,4,21,14.21,92.43,19.07,1.97
2021,1,5,0,12.5,100.0,0.0,2.07
2021,1,5,3,18.91,78.38,0.0,1.93
2021,1,5,6,25.49,51.41,0.0,2.8
2021,1,5,9,25.87,51.63,0.0,2.34
2021,1,5,12,20.58,69.4,0.0,1.73
2021,1,5,15,18.57,75.19,0.0,1.51
2021,1,5,18,17.0,81.75,0.0,1.23
2021,1,5,21,14.78,93.74,0.0,1.59
2021,1,6,0,13.85,100.0,0.0,1.65
2021,1,6,3,20.42,73.83,0.0,0.98
2021,1,6,6,27.3,47.93,0.0,2.06
2021,1,6,9,27.71,48.71,0.0,1.8
2021,1,6,12,23.07,61.76,0.0,1.37
2021,1,6,15,21.07,65.73,0.0,1.51
2021,1,6,18,19.78,68.14,0.0,1.52
2021,1,6,21,18.44,73.33,0.0,1.5
2021,1,7,0,16.62,84.41,0.0,1.78
2021,1,7,3,22.58,64.12,0.0,1.37
2021,1,7,6,29.16,42.35,0.0,1.95
2021,1,7,9,28.93,44.08,0.0,2.08
2021,1,7,12,24.6,55.63,0.0,1.08
2021,1,7,15,21.41,65.91,0.0,1.63
2021,1,7,18,18.95,75.55,0.0,1.68
2021,1,7,21,17.83,79.65,8.75,1.2
2021,1,8,0,16.23,88.38,0.0,1.41
2021,1,8,3,21.3,75.61,0.0,1.5
2021,1,8,6,27.93,45.21,0.0,2.62
2021,1,8,9,27.16,47.98,0.0,2.77
2021,1,8,12,22.12,67.99,0.0,1.88
2021,1,8,15,21.12,65.82,0.0,1.2
2021,1,8,18,19.29,71.96,0.0,1.12
2021,1,8,21,18.01,77.13,0.0,0.84
2021,1,9,0,15.91,88.5,0.0,1.1
2021,1,9,3,21.55,68.71,0.0,0.98
2021,1,9,6,27.07,45.33,0.0,2.17
2021,1,9,9,26.86,46.42,0.0,2.42
2021,1,9,12,22.67,59.86,0.0,1.27
2021,1,9,15,21.6,60.31,0.0,0.87
2021,1,9,18,19.51,69.08,0.0,0.85
2021,1,9,21,16.96,82.48,0.0,1.54
2021,1,10,0,15.34,91.33,0.0,2.02
2021,1,10,3,22.18,64.94,0.0,2.31
2021,1,10,6,27.46,50.04,0.0,3.73
2021,1,10,9,27.34,51.72,0.0,3.3
2021,1,10,12,23.38,66.48,0.0,1.32
2021,1,10,15,22.49,66.68,0.0,0.17
2021,1,10,18,20.29,75.66,0.0,0.76
2021,1,10,21,18.57,84.26,0.0,0.62
2021,1,11,0,17.4,91.45,0.0,0.88
2021,1,11,3,23.47,66.93,0.0,1.15
2021,1,11,6,27.27,54.45,0.0,2.13
2021,1,11,9,27.0,54.18,0.0,2.74
2021,1,11,12,22.02,77.26,0.0,2.03
2021,1,11,15,19.01,86.08,0.0,2.66
2021,1,11,18,17.07,96.58,0.0,2.64
2021,1,11,21,15.61,100.0,0.0,2.43
2021,1,12,0,14.49,100.0,0.0,2.29
2021,1,12,3,22.22,65.43,0.0,1.79
2021,1,12,6,25.88,46.4,0.0,2.85
2021,1,12,9,25.3,45.68,0.0,3.2
2021,1,12,12,19.41,70.93,0.0,2.09
2021,1,12,15,17.15,77.25,0.0,2.17
2021,1,12,18,14.9,85.94,0.0,2.29
2021,1,12,21,13.0,95.93,0.0,2.31
2021,1,13,0,11.47,100.0,0.0,2.24
2021,1,13,3,19.35,60.03,0.0,1.86
2021,1,13,6,24.18,40.56,0.0,2.38
2021,1,13,9,23.46,41.62,0.0,3.09
2021,1,13,12,17.2,66.94,0.0,2.23
2021,1,13,15,14.3,73.48,0.0,2.65
2021,1,13,18,12.73,76.75,0.0,2.96
2021,1,13,21,11.59,81.49,0.0,2.78
2021,1,14,0,10.85,83.62,0.0,2.14
2021,1,14,3,18.35,54.44,0.0,1.6
2021,1,14,6,23.22,44.69,0.0,1.05
2021,1,14,9,22.9,45.64,0.0,2.2
